"Daily temperatures (mean, min, max) for Richmond, VA. Jan 1, 1939 - Feb 20, 2024",,,
Datasource: NCDC Daily Data,,,
"Station: USW00013740, Richmond Airport",,,
,,,
YEARMONTHDAY,TAVG,TMAX,TMIN
19390301,,60,42
19390302,,42,28
19390303,,49,24
19390304,,49,30
19390305,,79,48
19390306,,66,46
19390307,,59,34
19390308,,51,32
19390309,,75,35
19390310,,55,35
19390311,,43,36
19390312,,43,35
19390313,,62,32
19390314,,63,30
19390315,,68,42
19390316,,54,31
19390317,,52,25
19390318,,47,27
19390319,,45,25
19390320,,55,32
19390321,,53,31
19390322,,58,29
19390323,,61,27
19390324,,84,36
19390325,,86,57
19390326,,85,55
19390327,,78,61
19390328,,61,40
19390329,,57,36
19390330,,64,43
19390331,,59,40
19390401,,65,41
19390402,,65,42
19390403,,64,43
19390404,,58,32
19390405,,61,26
19390406,,65,45
19390407,,59,40
19390408,,46,36
19390409,,61,32
19390410,,82,49
19390411,,82,51
19390412,,62,36
19390413,,57,30
19390414,,70,30
19390415,,83,55
19390416,,56,44
19390417,,50,44
19390418,,79,48
19390419,,73,50
19390420,,69,47
19390421,,75,44
19390422,,70,45
19390423,,78,40
19390424,,87,48
19390425,,89,55
19390426,,82,65
19390427,,83,60
19390428,,64,46
19390429,,49,42
19390430,,72,39
19390501,,62,39
19390502,,54,43
19390503,,60,43
19390504,,71,39
19390505,,82,40
19390506,,88,45
19390507,,89,56
19390508,,78,64
19390509,,84,65
19390510,,82,61
19390511,,91,52
19390512,,71,53
19390513,,55,45
19390514,,61,40
19390515,,68,38
19390516,,68,40
19390517,,79,41
19390518,,89,55
19390519,,87,60
19390520,,85,58
19390521,,90,59
19390522,,87,64
19390523,,90,64
19390524,,81,58
19390525,,79,57
19390526,,85,61
19390527,,87,66
19390528,,91,70
19390529,,88,69
19390530,,90,69
19390531,,95,66
19390601,,93,70
19390602,,71,64
19390603,,72,63
19390604,,84,64
19390605,,85,63
19390606,,95,60
19390607,,81,60
19390608,,94,61
19390609,,91,68
19390610,,93,70
19390611,,92,70
19390612,,91,69
19390613,,88,67
19390614,,84,66
19390615,,88,66
19390616,,93,72
19390617,,95,75
19390618,,80,62
19390619,,82,61
19390620,,93,69
19390621,,90,70
19390622,,93,68
19390623,,91,70
19390624,,86,61
19390625,,91,58
19390626,,88,56
19390627,,82,57
19390628,,82,66
19390629,,89,69
19390630,,89,68
19390701,,89,66
19390702,,89,64
19390703,,88,62
19390704,,86,69
19390705,,78,68
19390706,,88,68
19390707,,91,69
19390708,,91,71
19390709,,90,72
19390710,,90,68
19390711,,81,60
19390712,,88,60
19390713,,91,67
19390714,,92,68
19390715,,85,62
19390716,,83,58
19390717,,85,60
19390718,,84,65
19390719,,80,64
19390720,,74,65
19390721,,65,60
19390722,,70,63
19390723,,83,61
19390724,,93,68
19390725,,87,67
19390726,,89,67
19390727,,88,69
19390728,,90,68
19390729,,89,70
19390730,,90,70
19390731,,90,69
19390801,,91,66
19390802,,94,68
19390803,,91,69
19390804,,85,68
19390805,,87,66
19390806,,83,67
19390807,,88,62
19390808,,92,69
19390809,,94,72
19390810,,89,66
19390811,,91,64
19390812,,89,65
19390813,,92,70
19390814,,87,69
19390815,,89,70
19390816,,91,68
19390817,,89,64
19390818,,82,72
19390819,,92,72
19390820,,94,70
19390821,,92,70
19390822,,88,70
19390823,,87,70
19390824,,91,66
19390825,,81,69
19390826,,79,69
19390827,,78,68
19390828,,72,63
19390829,,69,62
19390830,,83,61
19390831,,84,62
19390901,,86,61
19390902,,84,64
19390903,,86,65
19390904,,91,67
19390905,,85,60
19390906,,80,56
19390907,,90,58
19390908,,97,74
19390909,,88,71
19390910,,94,67
19390911,,78,55
19390912,,81,53
19390913,,78,60
19390914,,79,56
19390915,,86,54
19390916,,89,60
19390917,,93,62
19390918,,72,52
19390919,,77,53
19390920,,81,60
19390921,,78,58
19390922,,76,52
19390923,,82,49
19390924,,77,54
19390925,,86,58
19390926,,89,60
19390927,,79,63
19390928,,72,62
19390929,,81,68
19390930,,89,68
19391001,,70,54
19391002,,54,48
19391003,,54,47
19391004,,59,45
19391005,,73,44
19391006,,84,54
19391007,,88,58
19391008,,88,57
19391009,,92,64
19391010,,92,63
19391011,,81,62
19391012,,62,53
19391013,,70,47
19391014,,64,41
19391015,,56,32
19391016,,66,32
19391017,,74,35
19391018,,58,35
19391019,,78,38
19391020,,82,49
19391021,,82,48
19391022,,80,47
19391023,,70,38
19391024,,68,42
19391025,,71,46
19391026,,83,57
19391027,,84,64
19391028,,76,40
19391029,,57,31
19391030,,51,37
19391031,,51,40
19391101,,60,34
19391102,,60,32
19391103,,52,34
19391104,,45,34
19391105,,42,37
19391106,,54,29
19391107,,61,28
19391108,,64,35
19391109,,58,28
19391110,,67,30
19391111,,66,36
19391112,,52,36
19391113,,56,35
19391114,,63,33
19391115,,66,29
19391116,,75,29
19391117,,73,44
19391118,,74,37
19391119,,66,50
19391120,,50,36
19391121,,39,34
19391122,,40,36
19391123,,47,33
19391124,,44,30
19391125,,42,35
19391126,,44,28
19391127,,57,28
19391128,,62,28
19391129,,62,24
19391130,,57,31
19391201,,53,30
19391202,,61,46
19391203,,53,35
19391204,,50,29
19391205,,49,31
19391206,,55,30
19391207,,63,28
19391208,,56,26
19391209,,61,23
19391210,,69,29
19391211,,51,33
19391212,,47,27
19391213,,55,30
19391214,,45,31
19391215,,42,28
19391216,,51,31
19391217,,66,39
19391218,,67,36
19391219,,69,39
19391220,,57,32
19391221,,48,28
19391222,,48,28
19391223,,46,21
19391224,,34,15
19391225,,47,15
19391226,,47,20
19391227,,34,25
19391228,,34,25
19391229,,35,27
19391230,,39,26
19391231,,44,23
19400101,,33,19
19400102,,32,15
19400103,,34,11
19400104,,29,14
19400105,,44,24
19400106,,35,18
19400107,,30,15
19400108,,34,22
19400109,,30,1
19400110,,37,0
19400111,,40,22
19400112,,42,32
19400113,,38,33
19400114,,60,34
19400115,,45,29
19400116,,38,25
19400117,,51,21
19400118,,37,20
19400119,,26,6
19400120,,29,3
19400121,,38,16
19400122,,46,22
19400123,,28,22
19400124,,36,10
19400125,,26,-6
19400126,,26,-11
19400127,,25,-6
19400128,,31,-7
19400129,,33,-12
19400130,,36,-3
19400131,,38,5
19400201,,46,3
19400202,,41,17
19400203,,43,10
19400204,,42,8
19400205,,55,26
19400206,,55,27
19400207,,51,30
19400208,,50,24
19400209,,64,33
19400210,,48,40
19400211,,56,41
19400212,,68,32
19400213,,63,40
19400214,,51,29
19400215,,47,28
19400216,,50,19
19400217,,46,27
19400218,,50,31
19400219,,50,39
19400220,,40,36
19400221,,42,28
19400222,,43,24
19400223,,48,22
19400224,,53,32
19400225,,44,26
19400226,,37,21
19400227,,46,25
19400228,,51,37
19400229,,46,34
19400301,,58,31
19400302,,42,38
19400303,,46,39
19400304,,62,39
19400305,,54,34
19400306,,48,26
19400307,,52,27
19400308,,51,27
19400309,,49,29
19400310,,55,29
19400311,,48,25
19400312,,42,25
19400313,,40,32
19400314,,41,32
19400315,,43,24
19400316,,64,23
19400317,,68,26
19400318,,78,37
19400319,,66,38
19400320,,67,35
19400321,,52,31
19400322,,61,27
19400323,,46,21
19400324,,33,18
19400325,,38,23
19400326,,50,15
19400327,,68,32
19400328,,77,45
19400329,,74,45
19400330,,70,49
19400331,,75,46
19400401,,65,39
19400402,,62,35
19400403,,71,43
19400404,,82,47
19400405,,58,37
19400406,,63,34
19400407,,69,34
19400408,,70,52
19400409,,60,40
19400410,,65,31
19400411,,72,44
19400412,,68,30
19400413,,44,27
19400414,,52,30
19400415,,57,38
19400416,,82,43
19400417,,73,49
19400418,,79,51
19400419,,70,55
19400420,,64,44
19400421,,48,42
19400422,,63,37
19400423,,59,31
19400424,,52,37
19400425,,67,33
19400426,,57,45
19400427,,62,39
19400428,,66,38
19400429,,75,35
19400430,,82,47
19400501,,77,54
19400502,,72,51
19400503,,57,46
19400504,,55,45
19400505,,73,43
19400506,,89,43
19400507,,94,63
19400508,,88,58
19400509,,70,53
19400510,,70,43
19400511,,66,39
19400512,,69,41
19400513,,83,49
19400514,,92,55
19400515,,87,58
19400516,,69,57
19400517,,74,48
19400518,,85,52
19400519,,87,59
19400520,,85,60
19400521,,82,59
19400522,,77,61
19400523,,73,61
19400524,,64,56
19400525,,75,57
19400526,,82,60
19400527,,80,58
19400528,,80,55
19400529,,80,54
19400530,,62,55
19400531,,80,58
19400601,,83,61
19400602,,80,60
19400603,,89,58
19400604,,87,62
19400605,,90,67
19400606,,96,66
19400607,,92,68
19400608,,88,64
19400609,,91,67
19400610,,87,67
19400611,,83,70
19400612,,92,69
19400613,,92,69
19400614,,90,69
19400615,,93,69
19400616,,86,70
19400617,,78,66
19400618,,83,61
19400619,,92,70
19400620,,77,57
19400621,,75,51
19400622,,76,52
19400623,,86,59
19400624,,93,70
19400625,,78,62
19400626,,81,59
19400627,,78,58
19400628,,90,67
19400629,,89,63
19400630,,81,54
19400701,,80,58
19400702,,77,57
19400703,,73,61
19400704,,70,56
19400705,,80,54
19400706,,81,56
19400707,,80,55
19400708,,86,56
19400709,,87,67
19400710,,92,65
19400711,,94,68
19400712,,89,64
19400713,,71,55
19400714,,77,54
19400715,,83,51
19400716,,89,66
19400717,,83,67
19400718,,88,67
19400719,,93,67
19400720,,96,71
19400721,,97,70
19400722,,97,72
19400723,,94,71
19400724,,91,70
19400725,,94,68
19400726,,100,72
19400727,,101,72
19400728,,100,72
19400729,,87,69
19400730,,94,68
19400731,,96,73
19400801,,84,64
19400802,,79,61
19400803,,79,59
19400804,,85,61
19400805,,85,70
19400806,,92,70
19400807,,84,70
19400808,,84,62
19400809,,83,61
19400810,,80,61
19400811,,86,70
19400812,,87,70
19400813,,87,72
19400814,,77,70
19400815,,76,70
19400816,,77,72
19400817,,84,73
19400818,,87,73
19400819,,89,66
19400820,,78,57
19400821,,78,55
19400822,,80,58
19400823,,87,61
19400824,,79,61
19400825,,72,59
19400826,,82,60
19400827,,71,66
19400828,,82,68
19400829,,74,66
19400830,,87,69
19400831,,88,70
19400901,,86,65
19400902,,86,60
19400903,,85,62
19400904,,86,61
19400905,,85,60
19400906,,79,57
19400907,,79,55
19400908,,79,55
19400909,,84,62
19400910,,87,64
19400911,,66,48
19400912,,69,44
19400913,,73,46
19400914,,75,47
19400915,,75,57
19400916,,78,55
19400917,,78,52
19400918,,80,53
19400919,,83,53
19400920,,86,59
19400921,,93,61
19400922,,82,57
19400923,,81,55
19400924,,86,63
19400925,,86,45
19400926,,60,41
19400927,,67,39
19400928,,69,42
19400929,,72,43
19400930,,66,54
19401001,,57,48
19401002,,56,49
19401003,,74,48
19401004,,76,45
19401005,,72,47
19401006,,78,49
19401007,,83,58
19401008,,62,55
19401009,,63,43
19401010,,67,39
19401011,,74,37
19401012,,78,48
19401013,,84,47
19401014,,82,51
19401015,,82,50
19401016,,54,45
19401017,,60,40
19401018,,62,37
19401019,,48,30
19401020,,46,27
19401021,,62,26
19401022,,59,35
19401023,,74,32
19401024,,83,54
19401025,,75,50
19401026,,73,46
19401027,,72,40
19401028,,61,44
19401029,,53,44
19401030,,69,50
19401031,,70,39
19401101,,64,42
19401102,,70,44
19401103,,72,41
19401104,,74,34
19401105,,73,47
19401106,,63,37
19401107,,56,31
19401108,,52,26
19401109,,55,26
19401110,,62,35
19401111,,68,44
19401112,,69,44
19401113,,47,41
19401114,,46,43
19401115,,52,36
19401116,,46,29
19401117,,57,28
19401118,,58,26
19401119,,59,28
19401120,,67,39
19401121,,73,36
19401122,,76,54
19401123,,66,46
19401124,,56,45
19401125,,50,33
19401126,,39,28
19401127,,53,32
19401128,,44,21
19401129,,53,21
19401130,,56,35
19401201,,56,36
19401202,,47,24
19401203,,38,15
19401204,,37,10
19401205,,41,29
19401206,,44,20
19401207,,60,30
19401208,,53,34
19401209,,51,25
19401210,,65,34
19401211,,56,31
19401212,,54,29
19401213,,65,39
19401214,,40,35
19401215,,44,35
19401216,,55,40
19401217,,51,25
19401218,,47,24
19401219,,48,23
19401220,,62,35
19401221,,60,30
19401222,,63,25
19401223,,51,25
19401224,,57,23
19401225,,63,30
19401226,,59,52
19401227,,57,49
19401228,,65,54
19401229,,62,48
19401230,,55,35
19401231,,55,28
19410101,,53,29
19410102,,47,38
19410103,,45,40
19410104,,48,28
19410105,,33,17
19410106,,39,13
19410107,,40,19
19410108,,44,18
19410109,,47,20
19410110,,41,25
19410111,,40,24
19410112,,55,22
19410113,,55,23
19410114,,35,22
19410115,,34,29
19410116,,39,30
19410117,,50,33
19410118,,52,42
19410119,,43,21
19410120,,38,15
19410121,,41,13
19410122,,56,29
19410123,,65,41
19410124,,50,33
19410125,,43,28
19410126,,35,25
19410127,,36,31
19410128,,39,28
19410129,,42,21
19410130,,53,19
19410131,,45,21
19410201,,48,19
19410202,,58,28
19410203,,39,29
19410204,,42,19
19410205,,41,16
19410206,,56,23
19410207,,46,32
19410208,,38,24
19410209,,41,19
19410210,,42,19
19410211,,51,15
19410212,,56,20
19410213,,46,21
19410214,,51,44
19410215,,50,28
19410216,,42,25
19410217,,51,31
19410218,,39,22
19410219,,39,15
19410220,,44,18
19410221,,46,17
19410222,,44,16
19410223,,45,20
19410224,,44,18
19410225,,55,29
19410226,,43,29
19410227,,41,28
19410228,,30,22
19410301,,38,21
19410302,,53,24
19410303,,68,40
19410304,,65,25
19410305,,44,20
19410306,,51,20
19410307,,36,31
19410308,,34,31
19410309,,47,32
19410310,,60,28
19410311,,59,37
19410312,,56,35
19410313,,42,26
19410314,,49,25
19410315,,59,22
19410316,,57,42
19410317,,44,25
19410318,,38,21
19410319,,52,19
19410320,,69,24
19410321,,61,33
19410322,,62,25
19410323,,61,26
19410324,,49,41
19410325,,53,31
19410326,,59,25
19410327,,55,33
19410328,,55,40
19410329,,49,30
19410330,,52,25
19410331,,66,25
19410401,,54,47
19410402,,60,37
19410403,,62,36
19410404,,61,35
19410405,,69,48
19410406,,56,44
19410407,,67,38
19410408,,66,36
19410409,,69,33
19410410,,73,46
19410411,,69,45
19410412,,71,41
19410413,,81,45
19410414,,90,52
19410415,,92,56
19410416,,85,56
19410417,,90,54
19410418,,90,58
19410419,,93,56
19410420,,93,65
19410421,,83,59
19410422,,62,47
19410423,,69,46
19410424,,56,52
19410425,,62,46
19410426,,63,43
19410427,,70,41
19410428,,77,40
19410429,,82,43
19410430,,86,41
19410501,,84,50
19410502,,80,50
19410503,,61,38
19410504,,76,39
19410505,,89,48
19410506,,84,52
19410507,,80,60
19410508,,79,56
19410509,,73,49
19410510,,72,48
19410511,,69,42
19410512,,69,38
19410513,,70,37
19410514,,77,40
19410515,,86,43
19410516,,92,56
19410517,,91,58
19410518,,74,45
19410519,,82,43
19410520,,90,50
19410521,,92,58
19410522,,96,64
19410523,,99,66
19410524,,78,55
19410525,,75,43
19410526,,91,55
19410527,,97,73
19410528,,100,72
19410529,,98,65
19410530,,66,58
19410531,,62,57
19410601,,86,60
19410602,,79,60
19410603,,61,58
19410604,,81,60
19410605,,70,53
19410606,,83,50
19410607,,89,58
19410608,,89,69
19410609,,87,63
19410610,,84,53
19410611,,82,49
19410612,,66,56
19410613,,84,66
19410614,,90,66
19410615,,86,62
19410616,,85,58
19410617,,80,56
19410618,,85,53
19410619,,91,59
19410620,,93,60
19410621,,95,67
19410622,,95,64
19410623,,82,71
19410624,,79,61
19410625,,90,59
19410626,,90,59
19410627,,94,65
19410628,,86,70
19410629,,97,73
19410630,,95,71
19410701,,95,74
19410702,,97,74
19410703,,94,72
19410704,,94,68
19410705,,72,65
19410706,,81,67
19410707,,81,70
19410708,,90,67
19410709,,85,63
19410710,,83,61
19410711,,86,70
19410712,,93,70
19410713,,81,71
19410714,,78,68
19410715,,79,66
19410716,,85,65
19410717,,88,72
19410718,,87,72
19410719,,91,70
19410720,,86,68
19410721,,85,63
19410722,,83,59
19410723,,84,65
19410724,,86,66
19410725,,90,67
19410726,,98,68
19410727,,98,71
19410728,,101,74
19410729,,89,71
19410730,,97,70
19410731,,98,74
19410801,,95,73
19410802,,92,68
19410803,,90,66
19410804,,92,65
19410805,,94,66
19410806,,92,68
19410807,,90,62
19410808,,95,63
19410809,,100,65
19410810,,93,68
19410811,,94,63
19410812,,93,67
19410813,,75,51
19410814,,82,47
19410815,,88,62
19410816,,90,68
19410817,,82,58
19410818,,82,54
19410819,,93,68
19410820,,79,67
19410821,,83,64
19410822,,82,63
19410823,,87,68
19410824,,87,65
19410825,,89,71
19410826,,95,70
19410827,,80,61
19410828,,78,57
19410829,,81,53
19410830,,87,59
19410831,,95,63
19410901,,98,70
19410902,,83,66
19410903,,74,66
19410904,,89,70
19410905,,95,70
19410906,,91,65
19410907,,94,64
19410908,,89,67
19410909,,93,68
19410910,,94,72
19410911,,77,58
19410912,,71,44
19410913,,78,44
19410914,,82,46
19410915,,86,56
19410916,,90,61
19410917,,93,66
19410918,,80,54
19410919,,80,54
19410920,,75,52
19410921,,79,52
19410922,,80,53
19410923,,89,49
19410924,,88,60
19410925,,89,62
19410926,,83,64
19410927,,80,60
19410928,,87,63
19410929,,79,59
19410930,,72,57
19411001,,92,68
19411002,,84,65
19411003,,87,68
19411004,,94,73
19411005,,97,70
19411006,,99,70
19411007,,95,69
19411008,,95,56
19411009,,78,50
19411010,,72,51
19411011,,70,38
19411012,,79,34
19411013,,78,42
19411014,,84,50
19411015,,88,62
19411016,,68,39
19411017,,67,36
19411018,,80,47
19411019,,82,54
19411020,,75,53
19411021,,84,52
19411022,,73,46
19411023,,86,49
19411024,,67,36
19411025,,68,34
19411026,,66,35
19411027,,80,54
19411028,,71,41
19411029,,55,35
19411030,,66,35
19411031,,68,50
19411101,,75,62
19411102,,69,38
19411103,,67,32
19411104,,70,39
19411105,,69,49
19411106,,74,57
19411107,,62,35
19411108,,58,32
19411109,,55,27
19411110,,49,28
19411111,,48,22
19411112,,52,21
19411113,,66,20
19411114,,76,30
19411115,,75,28
19411116,,71,36
19411117,,61,32
19411118,,71,30
19411119,,75,39
19411120,,75,50
19411121,,66,32
19411122,,51,23
19411123,,54,39
19411124,,50,32
19411125,,50,24
19411126,,61,21
19411127,,67,23
19411128,,69,29
19411129,,73,29
19411130,,74,31
19411201,,62,38
19411202,,59,38
19411203,,64,39
19411204,,65,46
19411205,,71,53
19411206,,55,35
19411207,,45,24
19411208,,55,23
19411209,,53,30
19411210,,60,26
19411211,,38,26
19411212,,40,31
19411213,,40,34
19411214,,47,22
19411215,,49,16
19411216,,58,26
19411217,,53,26
19411218,,62,25
19411219,,59,31
19411220,,57,28
19411221,,43,24
19411222,,47,20
19411223,,62,35
19411224,,65,41
19411225,,57,35
19411226,,55,42
19411227,,56,35
19411228,,44,27
19411229,,40,29
19411230,,38,20
19411231,,48,27
19420101,,58,30
19420102,,63,29
19420103,,41,26
19420104,,42,32
19420105,,35,29
19420106,,29,16
19420107,,33,17
19420108,,18,-8
19420109,,26,2
19420110,,26,-6
19420111,,34,-8
19420112,,45,-1
19420113,,48,22
19420114,,56,22
19420115,,55,29
19420116,,46,20
19420117,,46,15
19420118,,67,37
19420119,,59,42
19420120,,50,27
19420121,,45,23
19420122,,50,21
19420123,,58,24
19420124,,68,34
19420125,,61,31
19420126,,45,36
19420127,,41,37
19420128,,39,35
19420129,,42,23
19420130,,40,20
19420131,,63,32
19420201,,46,29
19420202,,35,18
19420203,,33,12
19420204,,48,12
19420205,,57,33
19420206,,54,27
19420207,,53,41
19420208,,50,26
19420209,,43,20
19420210,,38,20
19420211,,46,30
19420212,,38,20
19420213,,42,14
19420214,,50,15
19420215,,59,25
19420216,,64,42
19420217,,64,34
19420218,,42,31
19420219,,40,21
19420220,,34,16
19420221,,40,14
19420222,,48,24
19420223,,53,16
19420224,,38,30
19420225,,48,24
19420226,,47,18
19420227,,48,23
19420228,,45,28
19420301,,47,26
19420302,,44,25
19420303,,43,35
19420304,,57,34
19420305,,56,31
19420306,,56,30
19420307,,68,27
19420308,,71,51
19420309,,66,36
19420310,,64,34
19420311,,73,34
19420312,,70,44
19420313,,65,38
19420314,,69,45
19420315,,56,43
19420316,,47,42
19420317,,81,45
19420318,,67,42
19420319,,62,35
19420320,,65,28
19420321,,62,48
19420322,,60,38
19420323,,63,31
19420324,,65,29
19420325,,68,31
19420326,,60,37
19420327,,58,38
19420328,,46,33
19420329,,40,32
19420330,,61,28
19420331,,55,37
19420401,,56,33
19420402,,66,33
19420403,,76,45
19420404,,79,47
19420405,,89,46
19420406,,92,52
19420407,,88,64
19420408,,76,53
19420409,,54,42
19420410,,54,42
19420411,,59,38
19420412,,57,36
19420413,,59,34
19420414,,71,36
19420415,,80,46
19420416,,87,49
19420417,,87,51
19420418,,71,45
19420419,,63,39
19420420,,58,41
19420421,,68,38
19420422,,69,42
19420423,,77,40
19420424,,83,41
19420425,,88,45
19420426,,88,46
19420427,,74,46
19420428,,67,44
19420429,,78,54
19420430,,91,56
19420501,,94,64
19420502,,87,64
19420503,,89,60
19420504,,87,66
19420505,,79,53
19420506,,78,51
19420507,,78,57
19420508,,67,51
19420509,,74,51
19420510,,78,48
19420511,,78,50
19420512,,83,61
19420513,,82,60
19420514,,84,61
19420515,,82,60
19420516,,73,61
19420517,,76,54
19420518,,80,52
19420519,,82,54
19420520,,84,55
19420521,,85,66
19420522,,82,62
19420523,,77,56
19420524,,78,52
19420525,,75,52
19420526,,82,50
19420527,,85,55
19420528,,84,59
19420529,,86,58
19420530,,93,63
19420531,,95,66
19420601,,72,64
19420602,,72,63
19420603,,82,65
19420604,,91,67
19420605,,89,64
19420606,,90,60
19420607,,93,65
19420608,,88,68
19420609,,76,69
19420610,,86,69
19420611,,87,72
19420612,,94,72
19420613,,93,71
19420614,,86,65
19420615,,82,58
19420616,,86,57
19420617,,88,62
19420618,,84,59
19420619,,91,63
19420620,,91,67
19420621,,101,68
19420622,,89,70
19420623,,84,68
19420624,,81,61
19420625,,83,62
19420626,,82,61
19420627,,79,66
19420628,,81,65
19420629,,84,61
19420630,,86,58
19420701,,89,60
19420702,,86,68
19420703,,89,67
19420704,,90,71
19420705,,92,68
19420706,,92,66
19420707,,81,66
19420708,,82,64
19420709,,86,63
19420710,,87,67
19420711,,94,69
19420712,,90,67
19420713,,93,65
19420714,,97,72
19420715,,90,68
19420716,,88,69
19420717,,97,69
19420718,,101,77
19420719,,101,75
19420720,,102,72
19420721,,89,69
19420722,,88,68
19420723,,79,68
19420724,,72,65
19420725,,85,71
19420726,,89,72
19420727,,89,70
19420728,,91,68
19420729,,95,71
19420730,,94,70
19420731,,96,71
19420801,,97,69
19420802,,100,70
19420803,,99,70
19420804,,79,71
19420805,,72,65
19420806,,80,64
19420807,,74,64
19420808,,73,67
19420809,,85,71
19420810,,90,69
19420811,,86,67
19420812,,82,70
19420813,,86,72
19420814,,90,73
19420815,,90,73
19420816,,88,73
19420817,,88,72
19420818,,82,71
19420819,,82,70
19420820,,88,69
19420821,,90,71
19420822,,93,72
19420823,,92,66
19420824,,77,59
19420825,,73,54
19420826,,75,52
19420827,,77,55
19420828,,82,54
19420829,,83,64
19420830,,77,61
19420831,,77,57
19420901,,78,60
19420902,,86,67
19420903,,91,65
19420904,,91,71
19420905,,83,66
19420906,,80,64
19420907,,83,68
19420908,,88,66
19420909,,92,72
19420910,,93,66
19420911,,81,63
19420912,,80,65
19420913,,87,63
19420914,,88,67
19420915,,90,64
19420916,,93,64
19420917,,90,69
19420918,,92,71
19420919,,92,71
19420920,,87,58
19420921,,67,51
19420922,,75,48
19420923,,78,49
19420924,,83,57
19420925,,71,62
19420926,,74,57
19420927,,85,52
19420928,,61,45
19420929,,62,38
19420930,,66,40
19421001,57,,
19421002,61,,
19421003,62,,
19421004,61,,
19421005,66,,
19421006,63,,
19421007,59,,
19421008,63,,
19421009,65,,
19421010,64,,
19421011,63,,
19421012,62,,
19421013,60,,
19421014,67,,
19421015,69,,
19421016,70,,
19421017,66,,
19421018,62,,
19421019,59,,
19421020,60,,
19421021,63,,
19421022,65,,
19421023,67,,
19421024,56,,
19421025,55,,
19421026,57,,
19421027,43,,
19421028,44,,
19421029,49,,
19421030,54,,
19421031,60,,
19421101,59,,
19421102,51,,
19421103,51,,
19421104,44,,
19421105,46,,
19421106,57,,
19421107,58,,
19421108,56,,
19421109,55,,
19421110,60,,
19421111,47,,
19421112,42,,
19421113,51,,
19421114,36,,
19421115,35,,
19421116,48,,
19421117,57,,
19421118,63,,
19421119,59,,
19421120,62,,
19421121,66,,
19421122,49,,
19421123,44,,
19421124,46,,
19421125,49,,
19421126,49,,
19421127,47,,
19421128,35,,
19421129,42,,
19421130,47,,
19421201,42,,
19421202,44,,
19421203,27,,
19421204,36,,
19421205,35,,
19421206,36,,
19421207,33,,
19421208,35,,
19421209,38,,
19421210,37,,
19421211,44,,
19421212,46,,
19421213,38,,
19421214,27,,
19421215,40,,
19421216,40,,
19421217,27,,
19421218,40,,
19421219,36,,
19421220,24,,
19421221,12,,
19421222,18,,
19421223,39,,
19421224,45,,
19421225,38,,
19421226,43,,
19421227,41,,
19421228,43,,
19421229,53,,
19421230,49,,
19421231,46,,
19430101,42,,
19430102,43,,
19430103,46,,
19430104,46,,
19430105,32,,
19430106,30,,
19430107,35,,
19430108,36,,
19430109,33,,
19430110,30,,
19430111,36,,
19430112,42,,
19430113,30,,
19430114,33,,
19430115,48,,
19430116,54,,
19430117,65,,
19430118,54,,
19430119,56,,
19430120,26,,
19430121,31,,
19430122,34,,
19430123,40,,
19430124,45,,
19430125,60,,
19430126,50,,
19430127,32,,
19430128,31,,
19430129,31,,
19430130,33,,
19430131,35,,
19430201,44,,
19430202,37,,
19430203,33,,
19430204,46,,
19430205,54,,
19430206,51,,
19430207,44,,
19430208,44,,
19430209,40,,
19430210,43,,
19430211,56,,
19430212,35,,
19430213,39,,
19430214,25,,
19430215,17,,
19430216,20,,
19430217,30,,
19430218,33,,
19430219,40,,
19430220,52,,
19430221,55,,
19430222,52,,
19430223,54,,
19430224,63,,
19430225,46,,
19430226,36,,
19430227,32,,
19430228,40,,
19430301,43,,
19430302,38,,
19430303,31,,
19430304,23,,
19430305,37,,
19430306,44,,
19430307,42,,
19430308,30,,
19430309,29,,
19430310,41,,
19430311,53,,
19430312,59,,
19430313,45,,
19430314,43,,
19430315,51,,
19430316,66,,
19430317,62,,
19430318,52,,
19430319,63,,
19430320,69,,
19430321,42,,
19430322,33,,
19430323,38,,
19430324,43,,
19430325,54,,
19430326,56,,
19430327,60,,
19430328,50,,
19430329,42,,
19430330,50,,
19430331,67,,
19430401,69,,
19430402,64,,
19430403,41,,
19430404,42,,
19430405,60,,
19430406,48,,
19430407,41,,
19430408,61,,
19430409,56,,
19430410,58,,
19430411,47,,
19430412,49,,
19430413,56,,
19430414,42,,
19430415,38,,
19430416,44,,
19430417,60,,
19430418,53,,
19430419,51,,
19430420,50,,
19430421,50,,
19430422,48,,
19430423,51,,
19430424,54,,
19430425,63,,
19430426,69,,
19430427,65,,
19430428,76,,
19430429,58,,
19430430,62,,
19430501,61,,
19430502,52,,
19430503,68,,
19430504,61,,
19430505,58,,
19430506,71,,
19430507,81,,
19430508,78,,
19430509,75,,
19430510,71,,
19430511,74,,
19430512,70,,
19430513,68,,
19430514,62,,
19430515,59,,
19430516,67,,
19430517,73,,
19430518,75,,
19430519,76,,
19430520,75,,
19430521,74,,
19430522,65,,
19430523,61,,
19430524,62,,
19430525,67,,
19430526,73,,
19430527,72,,
19430528,68,,
19430529,68,,
19430530,75,,
19430531,78,,
19430601,79,,
19430602,82,,
19430603,85,,
19430604,86,,
19430605,85,,
19430606,76,,
19430607,77,,
19430608,71,,
19430609,67,,
19430610,67,,
19430611,71,,
19430612,74,,
19430613,81,,
19430614,79,,
19430615,76,,
19430616,82,,
19430617,83,,
