Date Local,Latitude,Longitude,Ozone (ppm),State Name
2020-07-06,33.904039000000004,-86.05386700000003,0.021706,Alabama
2020-07-07,33.904039000000004,-86.05386700000003,0.016588,Alabama
2020-07-08,33.904039000000004,-86.05386700000003,0.018882,Alabama
2020-07-09,33.904039000000004,-86.05386700000003,0.014412,Alabama
2020-07-10,33.904039000000004,-86.05386700000003,0.026059,Alabama
2020-07-11,33.904039000000004,-86.05386700000003,0.027235,Alabama
2020-07-12,33.904039000000004,-86.05386700000003,0.017059,Alabama
2020-07-13,33.904039000000004,-86.05386700000003,0.020294,Alabama
2020-07-14,33.904039000000004,-86.05386700000003,0.024588,Alabama
2020-07-15,33.904039000000004,-86.05386700000003,0.031471,Alabama
2020-07-16,33.904039000000004,-86.05386700000003,0.021824,Alabama
2020-07-17,33.904039000000004,-86.05386700000003,0.022176,Alabama
2020-07-18,33.904039000000004,-86.05386700000003,0.020765,Alabama
2020-07-19,33.904039000000004,-86.05386700000003,0.024824,Alabama
2020-07-20,33.904039000000004,-86.05386700000003,0.021765,Alabama
2020-07-21,33.904039000000004,-86.05386700000003,0.024824,Alabama
2020-07-22,33.904039000000004,-86.05386700000003,0.021941,Alabama
2020-07-23,33.904039000000004,-86.05386700000003,0.016647,Alabama
2020-07-24,33.904039000000004,-86.05386700000003,0.012529,Alabama
2020-07-25,33.904039000000004,-86.05386700000003,0.017588,Alabama
2020-07-26,33.904039000000004,-86.05386700000003,0.017118,Alabama
2020-07-27,33.904039000000004,-86.05386700000003,0.019118,Alabama
2020-07-28,33.904039000000004,-86.05386700000003,0.021647,Alabama
2020-07-29,33.904039000000004,-86.05386700000003,0.017059,Alabama
2020-07-30,33.904039000000004,-86.05386700000003,0.015706,Alabama
2020-07-31,33.904039000000004,-86.05386700000003,0.020083,Alabama
2020-07-01,33.553056,-86.815,0.029412,Alabama
2020-07-02,33.553056,-86.815,0.024176,Alabama
2020-07-03,33.553056,-86.815,0.036294,Alabama
2020-07-04,33.553056,-86.815,0.029412,Alabama
2020-07-05,33.553056,-86.815,0.022176,Alabama
2020-07-06,33.553056,-86.815,0.025941,Alabama
2020-07-07,33.553056,-86.815,0.028294,Alabama
2020-07-08,33.553056,-86.815,0.025706,Alabama
2020-07-09,33.553056,-86.815,0.020235,Alabama
2020-07-10,33.553056,-86.815,0.025765,Alabama
2020-07-11,33.553056,-86.815,0.027706,Alabama
2020-07-12,33.553056,-86.815,0.022882,Alabama
2020-07-13,33.553056,-86.815,0.027647,Alabama
2020-07-22,33.553056,-86.815,0.020286,Alabama
2020-07-23,33.553056,-86.815,0.023353,Alabama
2020-07-24,33.553056,-86.815,0.014706,Alabama
2020-07-25,33.553056,-86.815,0.023176,Alabama
2020-07-26,33.553056,-86.815,0.021235,Alabama
2020-07-27,33.553056,-86.815,0.022,Alabama
